kode,uraian,is_priority,uraian_natural
000.1.8.1,pertamanan atau landscape,True,"Pengajuan pembelian tanaman hias, Permohonan perawatan taman kantor, Laporan kegiatan pemeliharaan landscape, Pengadaan peralatan pertamanan"
000.1.8.2,penghijauan,True,"Pengajuan anggaran penghijauan kantor, permohonan penanaman pohon di halaman kantor, laporan kegiatan penghijauan, permohonan bantuan peralatan kebersihan taman kantor"
000.1.8.3,perbaikan gedung,True,"Permohonan perbaikan gedung kantor, Laporan kerusakan gedung, Pengajuan anggaran perbaikan gedung, Permintaan peninjauan kondisi gedung"
000.1.8.4,perbaikan peralatan kantor,True,"Permohonan perbaikan mesin fotokopi, Pengajuan anggaran perbaikan komputer, Laporan kerusakan peralatan kantor, Permintaan teknisi untuk memperbaiki printer"
000.1.8.5,perbaikan rumah dinas atau wisma,True,"Permohonan perbaikan rumah dinas, laporan kerusakan rumah dinas, pengajuan anggaran perbaikan wisma, permintaan peninjauan kondisi rumah dinas"
000.1.8.6,kebersihan gedung dan taman,True,"Pengajuan pengadaan alat kebersihan, Laporan kebersihan gedung kantor, Permohonan bantuan kebersihan taman, Pengajuan perawatan AC dan pendingin ruangan"
000.1.9,pengelolaan jaringan listrik air telepon dan komputer,True,"Pengajuan perawatan jaringan listrik kantor, permohonan penambahan daya listrik, laporan gangguan jaringan telepon, permohonan perbaikan komputer rusak"
000.1.9.1,perbaikan atau pemeliharaan,True,"Perbaikan Jaringan Listrik Kantor, Permohonan Pemeliharaan Komputer, Laporan Kerusakan Telepon, Pengajuan Anggaran Perawatan Jaringan Internet"
000.1.9.2,Pemasangan,True,"Pemasangan jaringan listrik baru, permohonan pemasangan telepon kantor, laporan pemasangan komputer baru, permohonan perbaikan jaringan internet kantor"
000.1.10,Ketertiban dan Keamanan,True,"Laporan kejadian kecelakaan, permohonan pengawalan kegiatan, pemberitahuan adanya ancaman keamanan, laporan kerusakan fasilitas umum"
000.1.10.1,Pengamanan Penjagaan dan Pengawalan terhadap Pejabat Kantor dan Rumah Dinas,True,"Permohonan Pengamanan Kantor, Laporan Insiden Keamanan di Rumah Dinas, Pengajuan Pengawalan Pejabat, Surat Tugas Penjagaan Fasilitas Pemerintah"
000.1.10.2,Laporan Ketertiban dan Keamanan,True,"Laporan Insiden Kecelakaan, Laporan Kondisi Keamanan Kantor, Laporan Pelanggaran Ketertiban Masyarakat, Laporan Kegiatan Patroli Keamanan"
000.1.11,Administrasi Pengelolaan Parkir,True,"Laporan Pendapatan Parkir, Permohonan Izin Parkir Khusus, Pengajuan Tarif Parkir Baru, Laporan Kondisi Fasilitas Parkir"
000.1.12,Administrasi Pakaian Dinas Pegawai Satpam Petugas Kebersihan dan Pegawai lainnya,True,"Pengajuan pembelian pakaian dinas satpam, permohonan penggantian seragam petugas kebersihan, laporan kebutuhan pakaian dinas pegawai, pengadaan sepatu dinas untuk pegawai baru"
000.2,PERLENGKAPAN,False,
000.2.1,Inventarisasi dan Penyimpanan,False,
000.2.1.1,data hasil inventarisasi dan penyimpanan,False,
000.2.1.2,laporan dan evaluasi inventarisasi dan penyimpanan,True,"Laporan Inventarisasi Barang Milik Negara, Evaluasi Penyimpanan Arsip, Laporan Kondisi Gudang, Laporan Hasil Pemeriksaan Inventaris Kantor"
000.2.2,pemeliharaan peralatan kantor,False,
000.2.2.1,data hasil pemeliharaan kantor,False,
000.2.2.2,laporan dan evaluasi pemeliharaan kantor,True,"Laporan pemeliharaan kantor bulanan, evaluasi kinerja pemeliharaan peralatan kantor, permohonan perbaikan fasilitas kantor, laporan kegiatan pemeliharaan kantor tahunan"
000.2.3,distribusi,False,
000.2.3.1,barang habis pakai,False,
000.2.3.2,barang milik daerah,False,
000.2.4,penghapusan barang milik daerah antara lain: keputusan pembentukan tim berita acara penghapusan barang milik daerah daftar barang yang dihapuskan laporan hasil pelaksanaan penghapusan bmd termasuk didalamnya proses lelang penghapusan,False,
000.2.5,pengelolaan database barang milik daerah,False,
000.3,pengadaan,False,
000.3.1,rencana pengadaan barang dan jasa (antara lain: identifikasi dan analisis kebutuhan barang/jasa penyusunan dan penetapan rencana penganggaran pengadaan penetapan kebijakan umum penyusunan kerangka acuan kerja (kak) pengumuman rencana umum pengadaan),False,
000.3.2,pengadaan langsung (antara lain: persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak),False,
000.3.3,pengadaan tidak langsung/lelang (antara lain: persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak),False,
000.3.4,swakelola (antara lain: perencanaan pelaksanaan dan evaluasi),True,"proposal pelaksanaan swakelola, laporan kemajuan pekerjaan swakelola, permohonan bantuan peralatan swakelola, evaluasi hasil swakelola tahunan"
000.3.5,pengolahan sistem informasi pengadaan (antara lain: data base pengguna sistem informasi pengadaan barang/jasa data base kontrak data base pengadaan barang/jasa),False,
000.3.6,monitoring dan evaluasi (antara lain: laporan hasil monitoring laporan hasil evaluasi),True,"Laporan hasil monitoring, laporan hasil evaluasi, permohonan evaluasi kinerja, laporan kemajuan proyek"
000.4,perpustakaan,False,
000.4.1,kebijakan di bidang perpustakaan yang dilakukan oleh pemerintah daerah,False,
000.4.2,deposit bahan pustaka,False,
000.4.2.1,serah simpan karya cetak dan karya rekam,False,
000.4.2.2,pangkalan data penerbit dan pengusaha rekaman,False,
000.4.2.3,terbitan internasional dan regional,False,
000.4.2.4,pemantauan wajib serah simpan karya cetak dan karya rekam,False,
000.4.2.5,bibliografi dan katalog,False,
000.4.3,koleksi pustaka,False,
000.4.3.1,pembelian,False,
000.4.3.2,hibah,False,
000.4.3.3,hadiah,False,
000.4.3.4,tukar menukar,False,
000.4.3.5,implementasi undang undang kckr,False,
000.4.3.6,terbitan internal,False,
000.4.3.7,pendistribusian bahan pustaka surplus,False,
000.4.3.8,inventarisasi koleksi buku induk,False,
000.4.4,pengolahan bahan pustaka,False,
000.4.5,pangkalan data katalog koleksi,False,
000.4.6,layanan perpustakaan,False,
000.4.6.1,keanggotaan,False,
000.4.6.2,peminjaman,False,
000.4.6.3,pengembangan gemar baca,True,"proposal pengadaan buku perpustakaan, laporan kegiatan pengembangan gemar baca, permohonan bantuan dana untuk program literasi, surat undangan pelatihan pengembangan minat baca"
000.4.7,kerjasama perpustakaan,False,
000.4.7.1,mou,False,
000.4.7.2,perjanjian kerjasama,False,
000.4.7.3,partisipasi organisasi profesi dan kerjasama internasional,False,
000.4.8,pengembangan implementasi teknologi informasi perpustakaan,True,"proposal pengembangan sistem perpustakaan digital, permohonan bantuan pengadaan perangkat komputer perpustakaan, laporan implementasi teknologi informasi perpustakaan, permohonan pelatihan penggunaan teknologi informasi perpustakaan"
000.4.8.1,pengembangan situs web,True,"Pengajuan anggaran pengembangan situs web perpustakaan, permohonan bantuan teknis pengembangan situs web, laporan kemajuan pengembangan situs web perpustakaan, permohonan izin peluncuran situs web perpustakaan baru"
000.4.8.2,pengembangan kemas ulang informasi multimedia,True,"Pengembangan aplikasi perpustakaan digital, permohonan pengadaan perangkat multimedia, laporan pelatihan pengembangan konten multimedia, proposal pengembangan sistem informasi perpustakaan berbasis teknologi informasi."
000.4.8.3,pengembangan program aplikasi perpustakaan,True,"Pengajuan pengembangan aplikasi perpustakaan digital, permohonan bantuan pengadaan perangkat lunak perpustakaan, laporan kemajuan pengembangan sistem informasi perpustakaan, permohonan dukungan teknis pengembangan aplikasi perpustakaan online"
000.4.8.4,pengembangan pangkalan data kepustakaan digital,True,"Pengajuan pengembangan pangkalan data kepustakaan digital, permohonan bantuan pengembangan sistem informasi perpustakaan, laporan kemajuan pengembangan pangkalan data kepustakaan digital, permintaan dukungan teknis pengembangan pangkalan data kepustakaan digital"
000.4.9,pangkalan data layanan perpustakaan,False,
000.4.10,konservasi,False,
000.4.10.1,perawatan bahan perpustakaan,False,
000.4.10.2,perbaikan bahan perpustakaan,False,
000.4.10.3,penjilidan bahan perpustakaan,False,
000.4.11,reprografi (mikrofilm reproduksi foto),False,
000.4.12,transformasi digital,False,
000.4.13,kurasi digital,False,
000.4.14,pengembangan perpustakaan,True,"Proposal pengembangan koleksi perpustakaan, permohonan bantuan dana untuk perluasan perpustakaan, laporan kegiatan pengembangan perpustakaan, surat undangan pelatihan pustakawan"
000.4.14.1,perpustakaan umum,False,
000.4.14.2,perpustakaan khusus,False,
000.4.14.3,perpustakaan sekolah,False,
000.4.14.4,perpustakaan perguruan tinggi,False,
000.5,kearsipan,False,
000.5.1,kebijakan di bidang kearsipan yang dilakukan oleh pemerintah daerah,False,
000.5.2,pembinaan kearsipan,True,"Pembinaan dan pengelolaan arsip dinas, laporan kegiatan pembinaan kearsipan, permohonan bantuan pengadaan peralatan kearsipan, evaluasi sistem pengelolaan arsip kabupaten"
000.5.2.1,pengembangan profesi arsiparis antara lain formasi jabatan arsiparis analisis kebutuhan arsiparis,True,"Pengajuan Formasi Jabatan Arsiparis, Analisis Kebutuhan Tenaga Arsiparis, Permohonan Diklat Pengembangan Profesi Arsiparis, Laporan Pengembangan Kompetensi Arsiparis"
000.5.2.2,bimbingan konsultasi arsiparis,False,
000.5.2.3,penilaian arsiparis,False,
000.5.2.4,pemilihan arsiparis teladan antara lain berkas penyelenggaraan pemilihan arsiparis teladan berkas penetapan arsiparis teladan,True,"Pemilihan Arsiparis Teladan, Penetapan Arsiparis Teladan, Berkas Penyelenggaraan Pemilihan Arsiparis Teladan, Laporan Pemilihan Arsiparis Teladan"
000.5.2.5,data base arsiparis,False,
000.5.2.6,bimbingan konsultasi kearsipan,False,
000.5.2.7,supervisi dan evaluasi antara lain perencaan supervisi dan evaluasi pelaksanaan supervisi dan evaluasi laporan hasil supervisi dan evaluasi,True,"Rencana Supervisi Kearsipan, Laporan Hasil Evaluasi Kearsipan, Jadwal Pelaksanaan Supervisi, Berita Acara Evaluasi Kearsipan"
000.5.2.8,data base bimbingan dan konsultasi dan supervisi,False,
000.5.2.9,fasilitasi kearsipan antara lain fasilitasi sdm kearsipan fasilitasi prasarana dan sarana kearsipan,True,"Permohonan pelatihan pengelolaan arsip, Pengajuan pengadaan peralatan kearsipan, Laporan kegiatan fasilitasi kearsipan, Surat permohonan bantuan prasarana kearsipan"
000.5.2.10,lembaga atau unit kearsipan teladan antara lain berkas penyelenggaraan pemilihan lembaga atau unit kearsipan teladan berkas penetapan lembaga atau unit kearsipan teladan,True,"Pemilihan Lembaga Kearsipan Teladan, Penetapan Lembaga Kearsipan Teladan, Berkas Penyelenggaraan Pemilihan Lembaga Kearsipan Teladan, Laporan Kegiatan Pembinaan Kearsipan Teladan"
000.5.2.11,jadwal retensi arsip antara lain berkas usulan persetujuan jra surat persetujuan jra dari kepala anri,False,
000.5.3,pengelolaan arsip dinamis,False,
000.5.3.1,penciptaan antara lain buku registrasi naskah masuk dan keluar buku agenda kartu kendali lembar pengantar atau buku ekspedisi,False,
000.5.3.2,pemberkasan arsip aktif antara lain daftar berkas dan daftar isi berkas,False,
000.5.3.3,penataan arsip inaktif antara lain daftar arsip inaktif daftar arsip inaktif tematik,False,
000.5.3.4,penggunaan antara lain daftar arsip dinamis berdasarkan sistem klasifikasi keamanan dan akses arsip dinamis bukti pemimjaman arsip,False,
000.5.3.5,autentikasi arsip dinamis antara lain pembuktian autentisitas pendapat tenaga ahli pengujian penetapan autentisitas arsip dinamis,False,
000.5.4,program arsip vital antara lain identifikasi arsip vital perlindungan dan pengamanan arsip vital penyelamatan arsip vital dan pemiluhan arsip vital,False,
000.5.5,pengelolaan arsip terjaga antara lain daftar identifkasi arsip terjaga daftar berkas arsip terjaga daftar isi berkas arsip terjaga surat penetapan autentikasi arsip terjaga surat penyerahan arsip terjaga daftar salinan autentik arsip terjaga berita acara penyerahan salinan autentik arsip terjaga,False,
000.5.6,penyusutan arsip,False,
000.5.6.1,pemindahan arsip antara lain berita acara pemindahan daftar arsip yang dipindahkan,False,
000.5.6.2,pemusnahan arsip antara lain sk penetapan panitia penilai arsip pertimbangan panitia penilai permintaan persetujuan kepala anri untuk pemusnahan arsip dengan retensi sekurang kurangnya 10 tahun atau persetujuan kepala daerah selaku pimpinan pencipta arsip untuk pemusanahan arsip dengan retensi di bawah 10 tahun penetapan arsip yang dimusnahkan berita acara pemusnahan arsip daftar arsip yang dimusnahkan,False,
000.5.6.3,penyerahan arsip statis antara lain pembentukan panitia penilai notulen rapat panitia surat pertimbangan panitia penilai surat persetujuan dari kepala lembaga kearsipan surat pernyataan autentik terpercaya utuh dan digunakan dari pencipta arsip keputusan penetapan penyerahan berita acara penyerahan arsip daftar arsip yang diserahkan,False,
000.5.7,alih media arsip antara lain kebijakan alih media autentikasi berita acara daftar arsip yang dialihmediakan,False,
000.5.8,data base pengelolaan arsip dinamis,False,
000.5.8.1,data base pengelolaan arsip aktif,False,
000.5.8.2,data base pengelolaan arsip inaktif,False,
000.5.9,pengelolaan arsip statis,False,
000.5.9.1,akuisisi antara lain monitoring fisik dan daftar verifikasi terhadap daftar arsip menetapkan status arsip statis persetujuan untuk penyerahan penetapan arsip yang diserahkan berita acara penyerahan arsip daftar arsip yang diserahkan,False,
000.5.9.2,penghargaan dan imbalan,False,
000.5.9.3,sejarah lisan antara lain administrasi kegiatan berita acara wawancara sejarah lisan laporan kegiatan hasil wawancara kaset atau cd atau media lain sesuai perkembangan ti dan transkip,False,
000.5.9.4,daftar pencarian arsip statis antara lain pengumuman akuisisi daftar pencarian arsip statis,False,
000.5.9.5,menyusun sarana bantu temu balik antara lain daftar arsip statis inventaris arsip statis guide,False,
000.5.9.6,preservasi preventif antara lain penyimpanan pengendalian hama terpadu reproduksi alih media,False,
000.5.9.7,preservasi kuratif,False,
000.5.9.8,autentikasi arsip statis antara lain pembuktian autentisitas pendapat tenaga ahli pengujian penetapan autentisitas arsip statis,False,
000.5.9.9,akses arsip statis antara lain layanan arsip penerbitan naskah sumber,False,
000.5.10,jasa kearsipan antara lain konsultasi kearsipan manual kearsipan penataan arsip otomasi kearsipan penyimpanan arsip perawatan dan pemeliharaan arsip,False,
000.5.11,pengelolaan sikn dan jikn,False,
000.5.12,pelindungan dan penyelamatan arsip akibat bencana,False,
000.5.13,penyelamatan arsip perangkat daerah digabung dan atau dibubarkan,False,
000.5.14,penerbitan izin penggunaan arsip yang bersifat tertutup,False,
000.5.15,pengawasan kearsipan,False,
000.5.15.1,pengawasan kearsipan internal,False,
000.5.15.2,pengawasan kearsipan eksternal,False,
000.5.15.3,sanksi,False,
000.6,persandian,False,
000.6.1,kebijakan di bidang persandian yang dilakukan oleh pemerintah daerah,False,
000.6.2,pengamanan persandian,False,
000.6.2.1,pengamanan sinyal teknik sandi dan kripto,False,
000.6.2.2,analisis sinyal teknik sandi dan kripto,False,
000.6.2.3,materiil sandi sistem dan peralatan,False,
000.6.3,pengkajian persandian kriptografi peralatan sandi komunikasi sandi,False,
000.6.3.1,perencanaan pengkajian,False,
000.6.3.2,administrasi pengkajian,False,
000.6.3.3,pelaksanaan,False,
000.6.3.4,pelaporan,False,
000.6.4,pembinaan dan pengendalian persandian,True,"Laporan pelaksanaan pembinaan persandian, evaluasi pengendalian persandian, permohonan bantuan pengamanan dokumen rahasia, laporan kegiatan pengawasan persandian"
000.6.4.1,sumber daya manusia sdm,False,
000.6.4.2,jaring komunikasi,False,
000.6.5,layanan sertifikasi elektronik,False,
000.6.5.1,perencanaan dan administrasi,False,
000.6.5.2,pelaksanaan verifikasi,False,
000.6.5.3,pelaksanaan perjanjian kerjasama,False,
000.6.5.4,penyesuaian sistem dan testing,False,
000.6.5.5,pelaksanaan bimbingan teknis pengguna,False,
000.6.5.6,pelaksanaan penerbitan sertifikat elektronik,False,
000.6.5.7,pelaporan,False,
000.7,perencanaan pembangunan,False,
000.7.1,musyawarah perencanaan,True,"Notulensi Musyawarah Perencanaan Pembangunan, Undangan Musyawarah Perencanaan Pembangunan, Laporan Hasil Musyawarah Perencanaan Pembangunan, Berita Acara Musyawarah Perencanaan Pembangunan"
000.7.1.1,musrenbang provinsi,True,"Notulensi Musrenbang Provinsi, Laporan Hasil Musrenbang Provinsi, Undangan Musrenbang Provinsi, Berita Acara Musrenbang Provinsi"
000.7.1.2,musrenbang nasional,True,"Notulensi Musrenbang Nasional, Laporan Hasil Musrenbang Nasional, Undangan Musrenbang Nasional, Berita Acara Musrenbang Nasional"
000.7.1.3,musrenbang kabupaten,True,"Notulensi Musrenbang Kabupaten, Laporan Hasil Musrenbang Kabupaten, Undangan Musrenbang Kabupaten, Berita Acara Musrenbang Kabupaten"
000.7.1.4,musrenbang kecamatan,True,"Notulensi Musrenbang Kecamatan, Laporan Hasil Musrenbang Kecamatan, Undangan Musrenbang Kecamatan, Berita Acara Musrenbang Kecamatan"
000.7.1.5,musrenbang kelurahan,True,"Notulensi Musrenbang Kelurahan, Laporan Hasil Musrenbang Kelurahan, Undangan Musrenbang Kelurahan, Berita Acara Musrenbang Kelurahan"
000.7.1.6,musrenbang desa,True,"Notulensi Musrenbang Desa, Laporan Hasil Musrenbang Desa, Undangan Musrenbang Desa, Berita Acara Musrenbang Desa"
000.7.2,perencanaan pembangunan daerah,True,"proposal perencanaan pembangunan daerah, laporan kemajuan pembangunan daerah, permohonan bantuan dana pembangunan daerah, evaluasi rencana pembangunan daerah"
000.7.2.1,rencana pembangunan jangka panjang,True,"Rencana Induk Pembangunan Daerah, Rencana Pembangunan Jangka Panjang Daerah, Laporan Kemajuan Pembangunan Daerah, Usulan Prioritas Pembangunan Daerah"
000.7.2.2,rencana pembangunan jangka menengah,True,"Rencana Pembangunan Jangka Menengah Daerah, Laporan Kemajuan Pembangunan Daerah, Proposal Pengembangan Infrastruktur, Permohonan Bantuan Pembangunan Daerah"
000.7.2.3,rencana anggaran daerah,True,"Rencana Anggaran Belanja Daerah, Usulan Prioritas Anggaran, Laporan Realisasi Anggaran, Permohonan Revisi Anggaran Daerah"
000.7.2.4,rencana pembangunan tahunan,True,"Rencana Kerja Anggaran (RKA) tahunan, Laporan Kemajuan Pembangunan Daerah, Usulan Prioritas Pembangunan Tahunan, Penetapan Target Pembangunan Daerah Tahunan"
000.7.2.5,rencana pembentukan satuan kerja perangkat daerah,True,"Pembentukan Tim Teknis Pembangunan Daerah, Penetapan Struktur Organisasi Satuan Kerja, Rencana Pembentukan Dinas Baru, Pengusulan Pembentukan Satuan Kerja Perangkat Daerah"
000.7.2.6,program kerja tahunan,True,"Rencana Kerja Tahunan, Laporan Kemajuan Program, Penetapan Prioritas Anggaran, Evaluasi Program Kerja Tahunan"
000.7.2.7,penetapan atau kontrak kinerja,True,"Penetapan Sasaran Kinerja Pegawai, Kontrak Kinerja Kepala Dinas, Laporan Capaian Kinerja, Evaluasi Penetapan Sasaran Kinerja Tahunan"
000.7.2.8,laporan berkala,True,"Laporan kemajuan proyek pembangunan, laporan realisasi anggaran, laporan capaian kinerja, laporan evaluasi program pembangunan daerah"
000.7.2.9,laporan insidential,True,"Laporan kejadian kecelakaan kerja, laporan insiden kebakaran, laporan kejadian bencana alam, laporan insiden keamanan"
000.7.2.10,evaluasi program,True,"Laporan evaluasi program pembangunan daerah, hasil monitoring dan evaluasi kegiatan, permohonan revisi rencana aksi, laporan kemajuan pelaksanaan program"
000.7.3,koordinasi dan sinkronisasi perencanaan pembangunan,True,"Notulensi rapat koordinasi pembangunan, laporan kemajuan proyek infrastruktur, permohonan bantuan dana pembangunan, surat undangan pertemuan sinkronisasi perencanaan pembangunan daerah"
000.7.4,konsultasi perencanaan pembangunan,True,"proposal perencanaan pembangunan infrastruktur, undangan konsultasi perencanaan pembangunan daerah, permohonan bantuan teknis perencanaan, laporan hasil konsultasi perencanaan pembangunan kabupaten"
000.7.5,pemantauan evaluasi penilaian dan pelaporan perencanaan pembangunan,True,"Laporan kemajuan proyek pembangunan, evaluasi kinerja perencanaan pembangunan, permohonan data untuk pemantauan pembangunan, laporan pelaksanaan kegiatan pembangunan"
000.7.6,aksi strategis daerah,True,"Rencana Aksi Pembangunan Daerah, Laporan Kemajuan Proyek Strategis, Proposal Pengembangan Infrastruktur, Permohonan Bantuan Pemerintah untuk Program Daerah"
000.7.6.1,rancangan awal perencanaan aksi strategi daerah,True,"Rancangan Awal Perencanaan Pembangunan Daerah, Usulan Program Aksi Strategis Daerah, Konsep Perencanaan Pembangunan Jangka Menengah, Draft Rencana Aksi Pembangunan Daerah"
000.7.6.2,rapat pembahasan rancangan awal dengan perangkat daerah,True,"Notulensi rapat pembahasan rancangan awal RPJMD, Undangan rapat pembahasan rancangan awal dengan perangkat daerah, Laporan hasil rapat pembahasan rancangan awal dengan perangkat daerah, Berita acara rapat pembahasan rancangan awal dengan perangkat daerah"
000.7.6.3,sosialisasi dengan perangkat daerah,True,"Undangan sosialisasi program pembangunan daerah, Nota dinas tentang sosialisasi kebijakan baru, Surat edaran tentang pelaksanaan aksi strategis daerah, Laporan hasil sosialisasi dengan perangkat daerah"
000.7.6.4,rancangan akhir perencanaan aksi strategi daerah,True,"Rancangan Akhir Perencanaan Pembangunan Daerah, Laporan Kemajuan Perencanaan Aksi Strategis, Proposal Pengembangan Infrastruktur Daerah, Nota Penjelasan Rancangan Perencanaan Aksi Strategis Daerah"
000.7.6.5,penerapan perencaan aksi strategi daerah,True,"Laporan pelaksanaan program aksi strategis daerah, proposal pengembangan infrastruktur daerah, permohonan bantuan dana untuk proyek pembangunan, laporan kemajuan penerapan rencana aksi strategis daerah"
000.7.7,perencanaan pendanaan pembangunan,True,"Rencana Anggaran Biaya Pembangunan Infrastruktur, Proposal Pendanaan Pembangunan Pusat Kesehatan Masyarakat, Laporan Realisasi Pendanaan Pembangunan Jalan Kabupaten, Permohonan Pendanaan Tambahan untuk Pembangunan Sekolah Dasar"
000.7.7.1,pendanaan nasional dan hibah,True,"proposal pengajuan hibah, permohonan pendanaan proyek infrastruktur, laporan realisasi anggaran pendanaan nasional, permohonan bantuan dana untuk kegiatan pembangunan daerah"
000.7.7.2,pendanaan daerah,True,"Proposal bantuan dana pembangunan desa, permohonan pendanaan untuk kegiatan pembangunan infrastruktur, laporan realisasi anggaran pendapatan dan belanja daerah, pengajuan usulan pendanaan untuk program pemberdayaan masyarakat."
000.7.7.3,kerjasama pembangunan nasional,True,"proposal kerjasama pembangunan infrastruktur, permohonan bantuan dana pembangunan nasional, laporan kemajuan proyek kerjasama, surat perjanjian kerjasama pembangunan daerah"
000.7.7.4,surat berharga syariah negara,True,"Pengajuan pembelian Surat Berharga Syariah Negara, Laporan Realisasi Pendapatan dari Surat Berharga Syariah Negara, Permohonan Informasi tentang Surat Berharga Syariah Negara, Pemberitahuan Penjualan Surat Berharga Syariah Negara"
000.7.7.5,pendanaan on top atau inisiatif baru,True,"Proposal pendanaan proyek infrastruktur baru, permohonan alokasi dana tambahan untuk kegiatan pembangunan, usulan pendanaan inisiatif baru untuk peningkatan kualitas pendidikan, laporan keuangan pendanaan on top untuk proyek pembangunan daerah."
000.8,organisasi dan tata laksana,False,
000.8.1,struktur organisasi di lingkunganpemerintahan daerah kabupaten muna barat,False,
000.8.1.1,pembentukan,False,
000.8.1.2,pengubahan,False,
000.8.1.3,pembubaran,False,
000.8.2,uraian jabatan,False,
000.8.2.1,analisa jabatan,False,
000.8.2.2,analisa beban kerja,False,
000.8.3,ketatalaksanaan,False,
000.8.3.1,proses bisnis,False,
000.8.3.2,standar pelayanan,False,
000.8.3.3,standar operasional prosedur,False,
000.8.3.4,pelayanan publik,False,
000.8.4,standar kompetensi jabatan struktural dan fungsional,False,
000.8.5,evaluasi kelembagaan,True,"Evaluasi kinerja kelembagaan, laporan hasil evaluasi kelembagaan, proposal perbaikan kelembagaan, laporan kemajuan evaluasi kelembagaan"
000.8.6,koordinasi penguatan reformasi dan birokrasi,True,"Notifikasi pelaksanaan reformasi birokrasi, laporan kemajuan penguatan reformasi, permohonan bantuan pelatihan reformasi birokrasi, evaluasi kebijakan reformasi dan birokrasi"
000.8.6.1,budaya kerja,False,
000.8.6.2,penilaian mandiri reformasi birokrasi,False,
